,code,title
535,ATI5102,Governance
536,ATI5103,Policy analysis
537,ATI5104,Public sector reform
538,ATI5129,Evaluation
539,ATI5195,Implementation and service delivery 
540,ATI5215,Global creative cities
541,ATI5365,Principles of global media and communications
542,ATI5366,Strategic communications in a digital era
543,ATI5367,"Campaigns, advocacy and change"
544,ATI5381,Crisis communications and issues management
545,ATI5450,Cultural policy
546,ATI5451,Cultural economy in practice
547,ATI5452,"Cultural events, exhibitions and festivals"
548,ATI5485,Research portfolio
549,ATI5662,Cultural and creative industries
550,ATI5849,Research thesis A
551,ATI5850,Research thesis B
552,ATI5856,Applied research project
553,ATI5969,Public policy simulation
554,ATS1001,Chinese introductory 1
555,ATS1002,Chinese introductory 2
556,ATS1020,Leadership for social change  
557,ATS1040,Religions and society
558,ATS1041,World religions
559,ATS1044,Performance 1
560,ATS1045,Performance 2
561,ATS1046,Composition and music technology 1: Introduction to composition genres
562,ATS1047,Composition and music technology 2: Materials of composition
563,ATS1050,"Big ideas in politics, philosophy and economics"
564,ATS1051,"Policy analysis in politics, philosophy and economics"
565,ATS1052,Interdisciplinary collaboration in a global world
566,ATS1061,French introductory 1
567,ATS1062,French introductory 2
568,ATS1069,Exploring critical performance studies in the arts
569,ATS1070,Critical intercultural performance 
570,ATS1072,Popular music 1
571,ATS1073,Popular music 2
572,ATS1089,Fundamentals of journalism
573,ATS1090,Practice of journalism
574,ATS1091,German introductory 1
575,ATS1092,German introductory 2
576,ATS1111,Indonesian Introductory 1
577,ATS1112,Indonesian Introductory 2
578,ATS1119,Communicating in the digital era
579,ATS1125,Public relations foundations
580,ATS1141,Japanese introductory 1
581,ATS1142,Japanese introductory 2
582,ATS1171,Korean introductory 1
583,ATS1172,Korean introductory 2
584,ATS1189,Acting 1: Theory and practice
585,ATS1190,Acting 2: Theory and practice
586,ATS1191,Spanish introductory 1
587,ATS1192,Spanish introductory 2
588,ATS1206,Media challenges
589,ATS1221,Italian introductory 1
590,ATS1222,Italian introductory 2
591,ATS1229,Intensive introductory Italian 1 (in country)
592,ATS1230,Intensive introductory Italian 2 (in country)
593,ATS1247,Introducing archaeology and ancient history 1
594,ATS1248,Introducing archaeology and ancient history 2
595,ATS1250,Social justice and Indigenous Australians
596,ATS1254,"Culture, power and difference: Indigeneity and Australian identity"
597,ATS1255,Encountering cultures: Introduction to anthropology 1
598,ATS1261,Understanding human behaviour
599,ATS1262,Understanding social behaviour
600,ATS1264,"Ethics, health and justice"
601,ATS1279,Media and culture
602,ATS1280,Understanding the media
603,ATS1287,Performance in context 1
604,ATS1288,Performance in context 2
605,ATS1297,Academic writing
606,ATS1298,Professional writing
607,ATS1304,Introduction to television studies
608,ATS1305,Introduction to film studies
609,ATS1309,The geography of global challenges
610,ATS1310,Extreme earth! Natural hazards and human vulnerability
611,ATS1314,Human rights theory 1
612,ATS1315,Human rights theory 2
613,ATS1319,Global Asia
614,ATS1325,International studies: Origins of globalisation
615,ATS1326,International studies: Challenges of globalisation
616,ATS1336,"Yiddish language, culture and literature 1A"
617,ATS1337,"Yiddish language, culture and literature 1B"
618,ATS1338,Linguistics and English language: Analysing communication
619,ATS1339,Linguistic structure and language diversity
620,ATS1340,English for academic purposes
621,ATS1343,Popular music in global perspective
622,ATS1345,Music across time
623,ATS1346,Music across place
624,ATS1347,Music ensemble 1
625,ATS1348,Music ensemble 2
626,ATS1353,Foundations of modern politics
627,ATS1365,Introduction to sociology
628,ATS1366,Big ideas for better futures
629,ATS1371,"Life, death and morality (Introduction to philosophy A)"
630,ATS1396,Drug cultures
631,ATS1420,The global crime problem
632,ATS1421,The complexity of crime
633,ATS1422,Crime prevention and crime control 
634,ATS1423,"Punishment, courts and corrections"
635,ATS1515,Reading across cultures
636,ATS1610,Revolution and Empire in the modern world (Introduction to history A)
637,ATS1611,Exchange and encounter in the premodern world (Introduction to History B)
638,ATS1665,Understanding gender 1
639,ATS1666,Understanding gender 2
640,ATS1701,Terrorism and political violence: An introduction
641,ATS1835,"Time, self and mind (Introduction to philosophy B)"
642,ATS1873,Introduction to international relations
643,ATS1899,Music theory and ear training 1
644,ATS1900,Music theory and ear training 2
645,ATS1903,Introducing literature: Ways of reading
646,ATS1904,Reading the city: Literary genres
647,ATS1905,Chinese introductory for background speakers 1
648,ATS1906,Chinese introductory for background speakers 2
649,ATS1940,Chinese translation 2
650,ATS1945,Australian government and politics
651,ATS1959,Chinese translation 1
652,ATS2000,From Freud to Friends: Ethnic identity in popular culture 
653,ATS2001,Chinese introductory 1
654,ATS2002,Chinese introductory 2
655,ATS2003,Chinese intermediate 1
656,ATS2004,Chinese intermediate 2
657,ATS2005,Chinese proficient 1
658,ATS2006,Chinese proficient 2
659,ATS2019,Beyond 'Primitive' Art: Understanding meaning and symbolism in Indigenous art
660,ATS2020,"Colonialism in comparison: Australia, New Zealand and the Pacific"
661,ATS2039,Understanding modern China
662,ATS2040,Understanding contemporary China
663,ATS2043,Chinese translation for professional purposes 1
664,ATS2044,Chinese translation for professional purposes 2
665,ATS2056,Crime and inequality
666,ATS2057,Genocide
667,ATS2060,The art of teaching music practice
668,ATS2063,French intermediate 1
669,ATS2064,French intermediate 2
670,ATS2065,French proficient 1
671,ATS2066,French proficient 2
672,ATS2084,Ancient mythologies
673,ATS2086,Agency and social change 
674,ATS2088,Russia and the US: Comparative politics
675,ATS2093,German intermediate 1
676,ATS2094,German intermediate 2
677,ATS2095,German proficient 1
678,ATS2096,German proficient 2
679,ATS2105,Theatre and performance: Theory and practice 2
680,ATS2106,"Environment, economy and society in world history"
681,ATS2110,Slavery: A history
682,ATS2113,Indonesian Intermediate 1
683,ATS2114,Indonesian Intermediate 2
684,ATS2122,Performance 3
685,ATS2123,Performance 4
686,ATS2127,Composition and music technology 3: Spatial composition techniques
687,ATS2128,Composition and music technology 4: Composition for screen
688,ATS2139,Song writing: How to write a popular song
